episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,MPLight_MM,198,3463.0,15913.5,19.5,70.0,42.0,2.0,-129.396,-129.396,-129.396,,
1,MPLight_MM,199,2927.5,14687.5,27.0,65.0,39.0,4.0,-126.777,-126.777,-126.777,,
1,MPLight_MM,200,2351.5,14191.0,0.0,60.0,37.0,1.0,-113.061,-113.061,-113.061,,
1,MPLight_MM,201,2438.0,14573.5,0.0,67.0,41.0,0.0,-118.947,-118.947,-118.947,,
1,MPLight_MM,202,2151.0,14892.5,0.0,65.0,41.0,2.0,-123.129,-123.129,-123.129,,
1,MPLight_MM,203,2068.5,15302.5,7.0,64.0,41.0,3.0,-128.311,-128.311,-128.311,,
1,MPLight_MM,204,2133.0,15649.5,17.0,60.0,40.0,2.0,-116.862,-116.862,-116.862,,
1,MPLight_MM,205,2221.0,15839.0,0.0,60.0,41.0,0.0,-111.947,-111.947,-111.947,,
1,MPLight_MM,206,2423.0,16206.0,0.0,66.0,41.0,0.0,-121.038,-121.038,-121.038,,
1,MPLight_MM,207,2348.5,16620.0,0.0,67.0,42.0,0.0,-120.214,-120.214,-120.214,,
1,MPLight_MM,208,2546.5,17041.5,0.0,67.0,43.0,2.0,-127.663,-127.663,-127.663,,
1,MPLight_MM,209,2000.0,15773.0,4.0,64.0,40.0,2.0,-120.862,-120.862,-120.862,,
1,MPLight_MM,210,2240.0,16175.5,13.0,66.0,42.0,6.0,-137.76,-137.76,-137.76,,
1,MPLight_MM,211,2493.5,16595.5,22.0,69.0,42.0,4.0,-140.76,-140.76,-140.76,,
1,MPLight_MM,212,2771.5,17018.0,33.5,72.0,43.0,7.0,-148.118,-148.118,-148.118,,
1,MPLight_MM,213,2761.5,17373.0,0.0,67.0,40.0,1.0,-123.862,-123.862,-123.862,,
1,MPLight_MM,214,2967.0,17777.0,0.0,67.0,41.0,5.0,-134.402,-134.402,-134.402,,
1,MPLight_MM,215,2265.5,18096.5,12.5,65.0,40.0,7.0,-137.317,-137.317,-137.317,,
1,MPLight_MM,216,2332.0,18402.5,3.5,62.0,39.0,5.0,-133.05,-133.05,-133.05,,
1,MPLight_MM,217,2566.0,18796.0,7.5,65.0,40.0,3.0,-128.044,-128.044,-128.044,,
1,MPLight_MM,218,2816.0,19196.0,14.0,65.0,40.0,3.0,-124.953,-124.953,-124.953,,
1,MPLight_MM,219,3032.0,19596.0,17.5,66.0,40.0,3.0,-125.953,-125.953,-125.953,,
1,MPLight_MM,220,3303.5,19997.5,25.0,71.0,41.0,3.0,-132.22,-132.22,-132.22,,
1,MPLight_MM,221,3468.0,20396.0,29.5,68.0,40.0,2.0,-124.862,-124.862,-124.862,,
1,MPLight_MM,222,3564.5,20796.0,39.5,65.0,40.0,2.0,-121.862,-121.862,-121.862,,
